"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",299,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",347,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",336,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",378,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",342,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2020","2020",378,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y6","6 anni","99","totale","2020","2020",361,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y7","7 anni","99","totale","2020","2020",393,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y8","8 anni","99","totale","2020","2020",394,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y9","9 anni","99","totale","2020","2020",381,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y10","10 anni","99","totale","2020","2020",414,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y11","11 anni","99","totale","2020","2020",418,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y12","12 anni","99","totale","2020","2020",398,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y13","13 anni","99","totale","2020","2020",372,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y14","14 anni","99","totale","2020","2020",374,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y15","15 anni","99","totale","2020","2020",412,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y16","16 anni","99","totale","2020","2020",388,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y17","17 anni","99","totale","2020","2020",394,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y18","18 anni","99","totale","2020","2020",407,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",389,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",432,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",433,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",425,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",424,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",427,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",462,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",427,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",480,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y28","28 anni","99","totale","2020","2020",508,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y29","29 anni","99","totale","2020","2020",492,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y30","30 anni","99","totale","2020","2020",486,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y31","31 anni","99","totale","2020","2020",502,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y32","32 anni","99","totale","2020","2020",538,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y33","33 anni","99","totale","2020","2020",514,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y34","34 anni","99","totale","2020","2020",489,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y35","35 anni","99","totale","2020","2020",533,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y36","36 anni","99","totale","2020","2020",513,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y37","37 anni","99","totale","2020","2020",523,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y38","38 anni","99","totale","2020","2020",521,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y39","39 anni","99","totale","2020","2020",536,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y40","40 anni","99","totale","2020","2020",584,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y41","41 anni","99","totale","2020","2020",575,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y42","42 anni","99","totale","2020","2020",623,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y43","43 anni","99","totale","2020","2020",619,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y44","44 anni","99","totale","2020","2020",689,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y45","45 anni","99","totale","2020","2020",686,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y46","46 anni","99","totale","2020","2020",692,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y47","47 anni","99","totale","2020","2020",735,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y48","48 anni","99","totale","2020","2020",707,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y49","49 anni","99","totale","2020","2020",714,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y50","50 anni","99","totale","2020","2020",735,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y51","51 anni","99","totale","2020","2020",784,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y52","52 anni","99","totale","2020","2020",770,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y53","53 anni","99","totale","2020","2020",742,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y54","54 anni","99","totale","2020","2020",746,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y55","55 anni","99","totale","2020","2020",718,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y56","56 anni","99","totale","2020","2020",712,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y57","57 anni","99","totale","2020","2020",674,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y58","58 anni","99","totale","2020","2020",640,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y59","59 anni","99","totale","2020","2020",660,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y60","60 anni","99","totale","2020","2020",640,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y61","61 anni","99","totale","2020","2020",646,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y62","62 anni","99","totale","2020","2020",588,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y63","63 anni","99","totale","2020","2020",536,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y64","64 anni","99","totale","2020","2020",563,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y65","65 anni","99","totale","2020","2020",492,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y66","66 anni","99","totale","2020","2020",487,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y67","67 anni","99","totale","2020","2020",529,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y68","68 anni","99","totale","2020","2020",483,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y69","69 anni","99","totale","2020","2020",555,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y70","70 anni","99","totale","2020","2020",492,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y71","71 anni","99","totale","2020","2020",559,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y72","72 anni","99","totale","2020","2020",505,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y73","73 anni","99","totale","2020","2020",531,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y74","74 anni","99","totale","2020","2020",405,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y75","75 anni","99","totale","2020","2020",438,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y76","76 anni","99","totale","2020","2020",433,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y77","77 anni","99","totale","2020","2020",422,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y78","78 anni","99","totale","2020","2020",411,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y79","79 anni","99","totale","2020","2020",440,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y80","80 anni","99","totale","2020","2020",461,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y81","81 anni","99","totale","2020","2020",404,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y82","82 anni","99","totale","2020","2020",370,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y83","83 anni","99","totale","2020","2020",305,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y84","84 anni","99","totale","2020","2020",319,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y85","85 anni","99","totale","2020","2020",278,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y86","86 anni","99","totale","2020","2020",239,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y87","87 anni","99","totale","2020","2020",227,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y88","88 anni","99","totale","2020","2020",224,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y89","89 anni","99","totale","2020","2020",198,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y90","90 anni","99","totale","2020","2020",169,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y91","91 anni","99","totale","2020","2020",116,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y92","92 anni","99","totale","2020","2020",105,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y93","93 anni","99","totale","2020","2020",83,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y94","94 anni","99","totale","2020","2020",72,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y95","95 anni","99","totale","2020","2020",52,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y96","96 anni","99","totale","2020","2020",36,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y97","97 anni","99","totale","2020","2020",27,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y98","98 anni","99","totale","2020","2020",16,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y99","99 anni","99","totale","2020","2020",15,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","Y_GE100","100 anni e più","99","totale","2020","2020",12,,
"098031","Lodi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",44928,,
